word_esp,word_rus,other_rus,category,level
falda,юбка,"брюки,платье,шорты",Животные,продвинутый
alegría,радость,"печаль,злость,спокойствие",Одежда,средний
leche,молоко,"вода,сок,чай",Профессии,средний
tren,поезд,"машина,автобус,метро",Природа,продвинутый
mesa,стол,"стул,шкаф,диван",Природа,средний
caballo,лошадь,"осёл,верблюд,корова",Профессии,средний
nadar,плавать,"нырять,летать,ползти",Профессии,начальный
doctor,врач,"учитель,пекарь,инженер",Дом и быт,продвинутый
camisa,рубашка,"пиджак,футболка,пальто",Профессии,продвинутый
vestido,платье,"юбка,блузка,рубашка",Овощи и фрукты,продвинутый
sol,солнце,"луна,звезда,облако",Овощи и фрукты,средний
luna,луна,"планета,солнце,комета",Профессии,продвинутый
avión,самолёт,"поезд,машина,метро",Части тела,продвинутый
zapato,туфля,"ботинок,кроссовок,сандалия",Профессии,средний
queso,сыр,"молоко,хлеб,творог",Эмоции,начальный
gato,кошка,"собака,птица,лошадь",Овощи и фрукты,продвинутый
pantalón,брюки,"шорты,юбка,джинсы",Дом и быт,начальный
volar,летать,"ходить,прыгать,катиться",Дом и быт,начальный
flor,цветок,"листва,куст,дерево",Животные,начальный
hierba,трава,"листва,цветок,дерево",Животные,продвинутый
montaña,гора,"река,озеро,лес",Дом и быт,продвинутый
coche,машина,"велосипед,мотоцикл,поезд",Одежда,продвинутый
correr,бежать,"прыгать,идти,ползти",Природа,средний
perro,собака,"кошка,мышь,тигр",Одежда,средний
emoción,эмоция,"чувство,ощущение,переживание",Эмоции,начальный
mar,море,"океан,озеро,река",Одежда,средний
ingeniero,инженер,"врач,учитель,строитель",Животные,средний
profesor,учитель,"врач,инженер,продавец",Овощи и фрукты,начальный
tristeza,грусть,"радость,злость,удивление",Природа,продвинутый
árbol,дерево,"куст,цветок,трава",Части тела,начальный
pan,хлеб,"масло,сыр,булка",Одежда,начальный
silla,стул,"диван,табурет,шкаф",Глаголы действия,начальный
caminar,идти,"стоять,бежать,сидеть",Животные,продвинутый
agua,вода,"молоко,пиво,сок",Транспорт,продвинутый
playa,пляж,"берег,галька,песок",Глаголы действия,продвинутый
zapato_8378,туфля,"ботинок,кроссовок,сандалия",Профессии,средний
tristeza_7973,грусть,"радость,злость,удивление",Природа,продвинутый
ingeniero_3405,инженер,"врач,учитель,строитель",Животные,средний
pantalón_5021,брюки,"шорты,юбка,джинсы",Дом и быт,начальный
profesor_4215,учитель,"врач,инженер,продавец",Овощи и фрукты,начальный
tren_9820,поезд,"машина,автобус,метро",Природа,продвинутый
volar_1420,летать,"ходить,прыгать,катиться",Дом и быт,начальный
leche_2921,молоко,"вода,сок,чай",Профессии,средний
ingeniero_5887,инженер,"врач,учитель,строитель",Животные,средний
zapato_9048,туфля,"ботинок,кроссовок,сандалия",Профессии,средний
mar_5336,море,"океан,озеро,река",Одежда,средний
pan_7041,хлеб,"масло,сыр,булка",Одежда,начальный
zapato_1667,туфля,"ботинок,кроссовок,сандалия",Профессии,средний
playa_3739,пляж,"берег,галька,песок",Глаголы действия,продвинутый
doctor_8928,врач,"учитель,пекарь,инженер",Дом и быт,продвинутый
camisa_4253,рубашка,"пиджак,футболка,пальто",Профессии,продвинутый
leche_5267,молоко,"вода,сок,чай",Профессии,средний
falda_7171,юбка,"брюки,платье,шорты",Животные,продвинутый
perro_3403,собака,"кошка,мышь,тигр",Одежда,средний
coche_7802,машина,"велосипед,мотоцикл,поезд",Одежда,продвинутый
luna_6206,луна,"планета,солнце,комета",Профессии,продвинутый
mar_4876,море,"океан,озеро,река",Одежда,средний
luna_7050,луна,"планета,солнце,комета",Профессии,продвинутый
doctor_4272,врач,"учитель,пекарь,инженер",Дом и быт,продвинутый
mesa_5269,стол,"стул,шкаф,диван",Природа,средний
gato_4319,кошка,"собака,птица,лошадь",Овощи и фрукты,продвинутый
tristeza_8369,грусть,"радость,злость,удивление",Природа,продвинутый
queso_4208,сыр,"молоко,хлеб,творог",Эмоции,начальный
avión_4965,самолёт,"поезд,машина,метро",Части тела,продвинутый
gato_2092,кошка,"собака,птица,лошадь",Овощи и фрукты,продвинутый
leche_1829,молоко,"вода,сок,чай",Профессии,средний
tristeza_1072,грусть,"радость,злость,удивление",Природа,продвинутый
emoción_1847,эмоция,"чувство,ощущение,переживание",Эмоции,начальный
gato_5307,кошка,"собака,птица,лошадь",Овощи и фрукты,продвинутый
camisa_4952,рубашка,"пиджак,футболка,пальто",Профессии,продвинутый
alegría_6654,радость,"печаль,злость,спокойствие",Одежда,средний
caminar_7865,идти,"стоять,бежать,сидеть",Животные,продвинутый
agua_1856,вода,"молоко,пиво,сок",Транспорт,продвинутый
hierba_3195,трава,"листва,цветок,дерево",Животные,продвинутый
emoción_6429,эмоция,"чувство,ощущение,переживание",Эмоции,начальный
caballo_6500,лошадь,"осёл,верблюд,корова",Профессии,средний
vestido_8320,платье,"юбка,блузка,рубашка",Овощи и фрукты,продвинутый
falda_4878,юбка,"брюки,платье,шорты",Животные,продвинутый
montaña_4716,гора,"река,озеро,лес",Дом и быт,продвинутый
camisa_2845,рубашка,"пиджак,футболка,пальто",Профессии,продвинутый
profesor_7175,учитель,"врач,инженер,продавец",Овощи и фрукты,начальный
alegría_4320,радость,"печаль,злость,спокойствие",Одежда,средний
volar_3370,летать,"ходить,прыгать,катиться",Дом и быт,начальный
pantalón_2475,брюки,"шорты,юбка,джинсы",Дом и быт,начальный
correr_9047,бежать,"прыгать,идти,ползти",Природа,средний
silla_2113,стул,"диван,табурет,шкаф",Глаголы действия,начальный
leche_5390,молоко,"вода,сок,чай",Профессии,средний
leche_2996,молоко,"вода,сок,чай",Профессии,средний
correr_2758,бежать,"прыгать,идти,ползти",Природа,средний
leche_3377,молоко,"вода,сок,чай",Профессии,средний
correr_2586,бежать,"прыгать,идти,ползти",Природа,средний
caballo_5255,лошадь,"осёл,верблюд,корова",Профессии,средний
emoción_4242,эмоция,"чувство,ощущение,переживание",Эмоции,начальный
nadar_5360,плавать,"нырять,летать,ползти",Профессии,начальный
tren_2540,поезд,"машина,автобус,метро",Природа,продвинутый
perro_6802,собака,"кошка,мышь,тигр",Одежда,средний
tren_2126,поезд,"машина,автобус,метро",Природа,продвинутый
volar_8354,летать,"ходить,прыгать,катиться",Дом и быт,начальный
falda_9174,юбка,"брюки,платье,шорты",Животные,продвинутый
queso_1619,сыр,"молоко,хлеб,творог",Эмоции,начальный
luna_4926,луна,"планета,солнце,комета",Профессии,продвинутый
caminar_4408,идти,"стоять,бежать,сидеть",Животные,продвинутый
camisa_6810,рубашка,"пиджак,футболка,пальто",Профессии,продвинутый
pantalón_7472,брюки,"шорты,юбка,джинсы",Дом и быт,начальный
coche_2044,машина,"велосипед,мотоцикл,поезд",Одежда,продвинутый
árbol_5947,дерево,"куст,цветок,трава",Части тела,начальный
luna_9723,луна,"планета,солнце,комета",Профессии,продвинутый
vestido_4584,платье,"юбка,блузка,рубашка",Овощи и фрукты,продвинутый
silla_8521,стул,"диван,табурет,шкаф",Глаголы действия,начальный
caballo_4947,лошадь,"осёл,верблюд,корова",Профессии,средний
tristeza_1821,грусть,"радость,злость,удивление",Природа,продвинутый
alegría_9249,радость,"печаль,злость,спокойствие",Одежда,средний
caminar_1239,идти,"стоять,бежать,сидеть",Животные,продвинутый
perro_6449,собака,"кошка,мышь,тигр",Одежда,средний
flor_5943,цветок,"листва,куст,дерево",Животные,начальный
alegría_5890,радость,"печаль,злость,спокойствие",Одежда,средний
mar_2083,море,"океан,озеро,река",Одежда,средний
