word_esp,word_rus,other_rus,category,level
falda,юбка,"брюки,платье,шорты",Животные,продвинутый
alegría,радость,"печаль,злость,спокойствие",Одежда,средний
leche,молоко,"вода,сок,чай",Профессии,средний
tren,поезд,"машина,автобус,метро",Природа,продвинутый
mesa,стол,"стул,шкаф,диван",Природа,средний
caballo,лошадь,"осёл,верблюд,корова",Профессии,средний
nadar,плавать,"нырять,летать,ползти",Профессии,начальный
doctor,врач,"учитель,пекарь,инженер",Дом и быт,продвинутый
camisa,рубашка,"пиджак,футболка,пальто",Профессии,продвинутый
vestido,платье,"юбка,блузка,рубашка",Овощи и фрукты,продвинутый
sol,солнце,"луна,звезда,облако",Овощи и фрукты,средний
luna,луна,"планета,солнце,комета",Профессии,продвинутый
avión,самолёт,"поезд,машина,метро",Части тела,продвинутый
zapato,туфля,"ботинок,кроссовок,сандалия",Профессии,средний
queso,сыр,"молоко,хлеб,творог",Эмоции,начальный
gato,кошка,"собака,птица,лошадь",Овощи и фрукты,продвинутый
pantalón,брюки,"шорты,юбка,джинсы",Дом и быт,начальный
volar,летать,"ходить,прыгать,катиться",Дом и быт,начальный
flor,цветок,"листва,куст,дерево",Животные,начальный
hierba,трава,"листва,цветок,дерево",Животные,продвинутый
montaña,гора,"река,озеро,лес",Дом и быт,продвинутый
coche,машина,"велосипед,мотоцикл,поезд",Одежда,продвинутый
correr,бежать,"прыгать,идти,ползти",Природа,средний
perro,собака,"кошка,мышь,тигр",Одежда,средний
emoción,эмоция,"чувство,ощущение,переживание",Эмоции,начальный
mar,море,"океан,озеро,река",Одежда,средний
ingeniero,инженер,"врач,учитель,строитель",Животные,средний
profesor,учитель,"врач,инженер,продавец",Овощи и фрукты,начальный
tristeza,грусть,"радость,злость,удивление",Природа,продвинутый
árbol,дерево,"куст,цветок,трава",Части тела,начальный
pan,хлеб,"масло,сыр,булка",Одежда,начальный
silla,стул,"диван,табурет,шкаф",Глаголы действия,начальный
caminar,идти,"стоять,бежать,сидеть",Животные,продвинутый
agua,вода,"молоко,пиво,сок",Транспорт,продвинутый
playa,пляж,"берег,галька,песок",Глаголы действия,продвинутый
zapato,туфля,"ботинок,кроссовок,сандалия",Профессии,средний
tristeza,грусть,"радость,злость,удивление",Природа,продвинутый
ingeniero,инженер,"врач,учитель,строитель",Животные,средний
pantalón,брюки,"шорты,юбка,джинсы",Дом и быт,начальный
profesor,учитель,"врач,инженер,продавец",Овощи и фрукты,начальный
tren,поезд,"машина,автобус,метро",Природа,продвинутый
volar,летать,"ходить,прыгать,катиться",Дом и быт,начальный
leche,молоко,"вода,сок,чай",Профессии,средний
ingeniero,инженер,"врач,учитель,строитель",Животные,средний
zapato,туфля,"ботинок,кроссовок,сандалия",Профессии,средний
mar,море,"океан,озеро,река",Одежда,средний
pan,хлеб,"масло,сыр,булка",Одежда,начальный
zapato,туфля,"ботинок,кроссовок,сандалия",Профессии,средний
playa,пляж,"берег,галька,песок",Глаголы действия,продвинутый
doctor,врач,"учитель,пекарь,инженер",Дом и быт,продвинутый
camisa,рубашка,"пиджак,футболка,пальто",Профессии,продвинутый
leche,молоко,"вода,сок,чай",Профессии,средний
falda,юбка,"брюки,платье,шорты",Животные,продвинутый
perro,собака,"кошка,мышь,тигр",Одежда,средний
coche,машина,"велосипед,мотоцикл,поезд",Одежда,продвинутый
luna,луна,"планета,солнце,комета",Профессии,продвинутый
mar,море,"океан,озеро,река",Одежда,средний
luna,луна,"планета,солнце,комета",Профессии,продвинутый
doctor,врач,"учитель,пекарь,инженер",Дом и быт,продвинутый
mesa,стол,"стул,шкаф,диван",Природа,средний
gato,кошка,"собака,птица,лошадь",Овощи и фрукты,продвинутый
tristeza,грусть,"радость,злость,удивление",Природа,продвинутый
queso,сыр,"молоко,хлеб,творог",Эмоции,начальный
avión,самолёт,"поезд,машина,метро",Части тела,продвинутый
gato,кошка,"собака,птица,лошадь",Овощи и фрукты,продвинутый
leche,молоко,"вода,сок,чай",Профессии,средний
tristeza,грусть,"радость,злость,удивление",Природа,продвинутый
emoción,эмоция,"чувство,ощущение,переживание",Эмоции,начальный
gato,кошка,"собака,птица,лошадь",Овощи и фрукты,продвинутый
camisa,рубашка,"пиджак,футболка,пальто",Профессии,продвинутый
alegría,радость,"печаль,злость,спокойствие",Одежда,средний
caminar,идти,"стоять,бежать,сидеть",Животные,продвинутый
agua,вода,"молоко,пиво,сок",Транспорт,продвинутый
hierba,трава,"листва,цветок,дерево",Животные,продвинутый
emoción,эмоция,"чувство,ощущение,переживание",Эмоции,начальный
caballo,лошадь,"осёл,верблюд,корова",Профессии,средний
vestido,платье,"юбка,блузка,рубашка",Овощи и фрукты,продвинутый
falda,юбка,"брюки,платье,шорты",Животные,продвинутый
montaña,гора,"река,озеро,лес",Дом и быт,продвинутый
camisa,рубашка,"пиджак,футболка,пальто",Профессии,продвинутый
profesor,учитель,"врач,инженер,продавец",Овощи и фрукты,начальный
alegría,радость,"печаль,злость,спокойствие",Одежда,средний
volar,летать,"ходить,прыгать,катиться",Дом и быт,начальный
pantalón,брюки,"шорты,юбка,джинсы",Дом и быт,начальный
correr,бежать,"прыгать,идти,ползти",Природа,средний
silla,стул,"диван,табурет,шкаф",Глаголы действия,начальный
leche,молоко,"вода,сок,чай",Профессии,средний
leche,молоко,"вода,сок,чай",Профессии,средний
correr,бежать,"прыгать,идти,ползти",Природа,средний
leche,молоко,"вода,сок,чай",Профессии,средний
correr,бежать,"прыгать,идти,ползти",Природа,средний
caballo,лошадь,"осёл,верблюд,корова",Профессии,средний
emoción,эмоция,"чувство,ощущение,переживание",Эмоции,начальный
nadar,плавать,"нырять,летать,ползти",Профессии,начальный
tren,поезд,"машина,автобус,метро",Природа,продвинутый
perro,собака,"кошка,мышь,тигр",Одежда,средний
tren,поезд,"машина,автобус,метро",Природа,продвинутый
volar,летать,"ходить,прыгать,катиться",Дом и быт,начальный
falda,юбка,"брюки,платье,шорты",Животные,продвинутый
queso,сыр,"молоко,хлеб,творог",Эмоции,начальный
luna,луна,"планета,солнце,комета",Профессии,продвинутый
caminar,идти,"стоять,бежать,сидеть",Животные,продвинутый
camisa,рубашка,"пиджак,футболка,пальто",Профессии,продвинутый
pantalón,брюки,"шорты,юбка,джинсы",Дом и быт,начальный
coche,машина,"велосипед,мотоцикл,поезд",Одежда,продвинутый
árbol,дерево,"куст,цветок,трава",Части тела,начальный
luna,луна,"планета,солнце,комета",Профессии,продвинутый
vestido,платье,"юбка,блузка,рубашка",Овощи и фрукты,продвинутый
silla,стул,"диван,табурет,шкаф",Глаголы действия,начальный
caballo,лошадь,"осёл,верблюд,корова",Профессии,средний
tristeza,грусть,"радость,злость,удивление",Природа,продвинутый
alegría,радость,"печаль,злость,спокойствие",Одежда,средний
caminar,идти,"стоять,бежать,сидеть",Животные,продвинутый
perro,собака,"кошка,мышь,тигр",Одежда,средний
flor,цветок,"листва,куст,дерево",Животные,начальный
alegría,радость,"печаль,злость,спокойствие",Одежда,средний
mar,море,"океан,озеро,река",Одежда,средний
volar,летать,"ходить,прыгать,катиться",Дом и быт,начальный
pantalón,брюки,"шорты,юбка,джинсы",Дом и быт,начальный
volar,летать,"ходить,прыгать,катиться",Дом и быт,начальный
árbol,дерево,"куст,цветок,трава",Части тела,начальный
caminar,идти,"стоять,бежать,сидеть",Животные,продвинутый
camisa,рубашка,"пиджак,футболка,пальто",Профессии,продвинутый
nadar,плавать,"нырять,летать,ползти",Профессии,начальный
ingeniero,инженер,"врач,учитель,строитель",Животные,средний
